Feature,Coefficient,Abs_Coefficient
num__tenure,-1.3523130200863407,1.3523130200863407
cat__Contract_Two year,-0.7790298012429236,0.7790298012429236
num__TotalCharges,0.6440135457057437,0.6440135457057437
cat__InternetService_DSL,-0.6161322185963604,0.6161322185963604
cat__Contract_Month-to-month,0.6138456087437515,0.6138456087437515
cat__InternetService_Fiber optic,0.5901840344394423,0.5901840344394423
num__MonthlyCharges,-0.5410063543015191,0.5410063543015191
cat__PaperlessBilling_No,-0.30038653030345086,0.30038653030345086
cat__MultipleLines_No,-0.29347031862107736,0.29347031862107736
cat__OnlineBackup_No internet service,-0.28372367055757686,0.28372367055757686
cat__StreamingTV_No internet service,-0.28372367055757686,0.28372367055757686
cat__TechSupport_No internet service,-0.28372367055757686,0.28372367055757686
cat__DeviceProtection_No internet service,-0.28372367055757686,0.28372367055757686
cat__OnlineSecurity_No internet service,-0.28372367055757686,0.28372367055757686
cat__StreamingMovies_No internet service,-0.28372367055757686,0.28372367055757686
cat__InternetService_No,-0.28372367055757686,0.28372367055757686
cat__Dependents_Yes,-0.2705204988388644,0.2705204988388644
cat__StreamingTV_No,-0.21706126058370032,0.21706126058370032
cat__PhoneService_Yes,-0.2053066162691495,0.2053066162691495
cat__PaymentMethod_Bank transfer (automatic),-0.2047553760627448,0.2047553760627448
cat__StreamingMovies_No,-0.20302455350948045,0.20302455350948045
cat__StreamingTV_Yes,0.1911130764268107,0.1911130764268107
cat__OnlineSecurity_Yes,-0.19040765428266,0.19040765428266
cat__PaymentMethod_Electronic check,0.1806705622271052,0.1806705622271052
cat__StreamingMovies_Yes,0.17707636935257398,0.17707636935257398
cat__TechSupport_Yes,-0.16889696134334875,0.16889696134334875
cat__Partner_Yes,-0.16725297245031812,0.16725297245031812
cat__gender_Male,-0.16689306492433645,0.16689306492433645
cat__OnlineSecurity_No,0.16445947012576612,0.16445947012576612
cat__PaymentMethod_Credit card (automatic),-0.1620562863927227,0.1620562863927227
cat__Contract_One year,-0.14448766221531129,0.14448766221531129
cat__TechSupport_No,0.14294877718644766,0.14294877718644766
cat__gender_Female,-0.14277878979014538,0.14277878979014538
cat__Partner_No,-0.14241888226415486,0.14241888226415486
cat__PaymentMethod_Mailed check,-0.1235307544861161,0.1235307544861161
cat__MultipleLines_No phone service,-0.10436523844532489,0.10436523844532489
cat__PhoneService_No,-0.10436523844532489,0.10436523844532489
cat__MultipleLines_Yes,0.08816370235192723,0.08816370235192723
num__SeniorCitizen,0.07101070361395397,0.07101070361395397
cat__OnlineBackup_Yes,-0.06958721108591238,0.06958721108591238
cat__DeviceProtection_No,-0.058641599296935756,0.058641599296935756
cat__OnlineBackup_No,0.04363902692901247,0.04363902692901247
cat__Dependents_No,-0.03915135587561008,0.03915135587561008
cat__DeviceProtection_Yes,0.03269341514001432,0.03269341514001432
cat__PaperlessBilling_Yes,-0.00928532441104018,0.00928532441104018
